symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
FRLM,2026-04-16 13:45:00+00,-32.5,66.93,1.857,2.156,51.88,993.7208,0.001,12.74
FRLM,2026-04-16 13:30:00+00,-32.92,68.47,0.559,1.842,48.25,993.91,0.001,12.74
FRLM,2026-04-16 13:15:00+00,-33.1,68.66,0.041,0.588,196.4,994.0306,0.001,12.74
FRLM,2026-04-16 13:00:00+00,-33.04,68.56,0.064,0.686,154.0,994.0596,0.001,12.74
FRLM,2026-04-16 12:45:00+00,-33.12,69.01,0.685,1.196,46.78,994.1379,0.001,12.74
FRLM,2026-04-16 12:30:00+00,-33.06,68.47,0.215,1.019,55.66,994.228,0.001,12.73
FRLM,2026-04-16 12:15:00+00,-32.94,67.62,0.535,1.313,21.72,994.3712,0.001,12.74
FRLM,2026-04-16 12:00:00+00,-32.7,67.41,0.771,1.705,93.8,994.4558,0.001,12.74
FRLM,2026-04-16 11:45:00+00,-32.83,67.35,0.785,1.588,130.6,994.4626,0.002,12.74
FRLM,2026-04-16 11:30:00+00,-33.18,68.42,0.678,1.039,33.77,994.4801,0.001,12.74
FRLM,2026-04-16 11:15:00+00,-33.1,68.56,0.668,1.156,278.7,994.4957,0.001,12.74
FRLM,2026-04-16 11:00:00+00,-33.33,67.67,0.756,2.176,208.5,994.4552,0.001,12.74
FRLM,2026-04-16 10:45:00+00,-33.2,68.28,2.371,2.92,58.52,994.4191,0.002,12.74
FRLM,2026-04-16 10:30:00+00,-32.75,68.42,1.937,2.783,60.92,994.5001,0.001,12.74
FRLM,2026-04-16 10:15:00+00,-32.85,69.32,1.03,1.803,191.0,994.6883,0.0,12.74
FRLM,2026-04-16 10:00:00+00,-32.89,68.52,0.659,1.215,59.33,994.8585,0.002,12.74
FRLM,2026-04-16 09:45:00+00,-32.43,67.32,0.873,1.842,35.27,994.9291,0.002,12.74
FRLM,2026-04-16 09:30:00+00,-32.58,66.66,0.175,0.764,80.2,994.9474,0.001,12.74
FRLM,2026-04-16 09:15:00+00,-32.45,67.52,0.958,1.744,154.2,994.8906,0.002,12.74
FRLM,2026-04-16 09:00:00+00,-32.73,66.87,1.213,1.803,175.4,994.8098,0.001,12.74
FRLM,2026-04-16 08:45:00+00,-32.59,66.8,0.375,0.764,181.3,994.8713,0.001,12.74
FRLM,2026-04-16 08:30:00+00,-32.9,68.62,1.43,1.94,53.57,994.8886,0.002,12.74
FRLM,2026-04-16 08:15:00+00,-32.93,68.48,1.259,1.98,107.2,994.9008,0.0,12.74
FRLM,2026-04-16 08:00:00+00,-32.78,67.14,0.877,1.725,27.25,995.0008,0.002,12.74
FRLM,2026-04-16 07:45:00+00,-31.99,66.08,1.393,1.901,97.5,995.0153,0.001,12.75
FRLM,2026-04-16 07:30:00+00,-32.22,68.24,0.912,1.96,125.2,995.0555,0.002,12.75
FRLM,2026-04-16 07:15:00+00,-32.65,68.87,0.38,0.745,18.76,995.114,0.002,12.75
FRLM,2026-04-16 07:00:00+00,-32.87,68.41,0.731,1.098,207.4,995.1431,0.002,12.75
FRLM,2026-04-16 06:45:00+00,-32.63,67.5,0.862,1.49,52.24,995.1793,0.001,12.75
FRLM,2026-04-16 06:30:00+00,-32.66,68.77,1.078,2.156,69.38,995.1827,0.006,12.75
FRLM,2026-04-16 06:15:00+00,-32.6,68.5,1.169,1.999,75.86,995.2656,0.005,12.75
FRLM,2026-04-16 06:00:00+00,-32.57,68.88,0.763,1.901,209.8,995.3123,0.025,12.75
FRLM,2026-04-16 05:45:00+00,-32.55,68.58,0.322,1.098,22.76,995.4146,0.089,12.75
FRLM,2026-04-16 05:30:00+00,-32.37,66.49,0.348,1.098,286.5,995.4199,0.279,12.75
FRLM,2026-04-16 05:15:00+00,-31.8,64.69,0.026,0.627,83.8,995.4442,0.653,12.76
FRLM,2026-04-16 05:00:00+00,-31.89,67.6,0.842,1.47,106.8,995.4307,1.219,12.76
FRLM,2026-04-16 04:45:00+00,-32.56,68.37,1.08,2.019,185.1,995.4541,1.956,12.76
FRLM,2026-04-16 04:30:00+00,-32.82,67.73,0.705,1.842,18.87,995.438,2.834,12.77
FRLM,2026-04-16 04:15:00+00,-32.53,65.78,1.882,2.293,59.44,995.3357,3.79,12.77
FRLM,2026-04-16 04:00:00+00,-31.08,63.45,1.665,2.626,74.69,995.4159,4.803,12.77
FRLM,2026-04-16 03:45:00+00,-31.87,67.13,1.326,1.646,149.7,995.5321,5.769,12.78
FRLM,2026-04-16 03:30:00+00,-32.1,66.94,0.472,1.039,216.9,995.6723,6.701,12.79
FRLM,2026-04-16 03:15:00+00,-32.37,67.72,0.503,0.843,221.9,995.7153,7.633,12.79
FRLM,2026-04-16 03:00:00+00,-32.75,66.87,0.377,0.921,339.0,995.7728,8.48,12.8
FRLM,2026-04-16 02:45:00+00,-32.79,66.24,0.704,1.098,31.82,995.7521,9.21,12.81
FRLM,2026-04-16 02:30:00+00,-31.33,58.86,1.18,2.528,31.63,995.7269,9.83,12.81
FRLM,2026-04-16 02:15:00+00,-29.34,64.79,1.226,2.234,83.2,995.7723,10.35,12.81
FRLM,2026-04-16 02:00:00+00,-32.08,66.1,1.952,3.077,42.4,995.8193,10.8,12.81
FRLM,2026-04-16 01:45:00+00,-31.75,66.87,1.712,2.293,171.3,995.8592,11.13,12.81
FRLM,2026-04-16 01:30:00+00,-32.37,67.86,1.344,2.783,232.7,995.8682,11.38,12.8
FRLM,2026-04-16 01:15:00+00,-32.58,66.77,1.408,2.274,29.2,995.7722,11.55,12.81
FRLM,2026-04-16 01:00:00+00,-31.92,62.73,0.9,1.588,30.66,995.5619,11.57,12.8
FRLM,2026-04-16 00:45:00+00,-31.2,64.34,0.828,1.901,90.1,995.455,11.46,12.79
FRLM,2026-04-16 00:30:00+00,-32.39,67.82,1.172,1.49,54.35,995.4174,11.24,12.79
FRLM,2026-04-16 00:15:00+00,-32.48,67.55,0.818,1.156,354.1,995.4794,10.91,12.78
FRLM,2026-04-16 00:00:00+00,-32.69,66.96,0.848,1.254,196.6,995.556,10.45,12.77
FRLM,2026-04-15 23:45:00+00,-33.05,66.68,0.319,0.862,356.0,995.6143,9.89,12.76
FRLM,2026-04-15 23:30:00+00,-32.89,65.51,1.641,2.195,37.01,995.601,9.21,12.75
FRLM,2026-04-15 23:15:00+00,-31.65,64.68,1.003,2.274,35.34,995.5327,8.42,12.72
FRLM,2026-04-15 23:00:00+00,-32.0,65.29,1.499,2.92,76.81,995.4286,7.491,12.73
FRLM,2026-04-15 22:45:00+00,-32.42,67.15,1.936,2.391,44.22,995.3584,6.547,12.74
FRLM,2026-04-15 22:30:00+00,-31.64,65.19,1.49,2.45,186.6,995.2256,5.521,12.73
FRLM,2026-04-15 22:15:00+00,-32.62,68.57,1.851,2.705,200.1,995.1598,4.466,12.73
FRLM,2026-04-15 22:00:00+00,-33.0,67.76,0.971,1.882,206.2,995.0896,3.29,12.73
FRLM,2026-04-15 21:45:00+00,-33.16,67.99,1.114,1.999,46.44,995.046,2.211,12.73
FRLM,2026-04-15 21:30:00+00,-32.96,66.51,0.595,1.764,336.4,994.9451,1.396,12.73
FRLM,2026-04-15 21:15:00+00,-32.59,67.72,1.568,3.195,121.3,994.8699,0.788,12.73
FRLM,2026-04-15 21:00:00+00,-32.92,67.97,1.196,2.372,44.51,994.8469,0.364,12.73
FRLM,2026-04-15 20:45:00+00,-33.09,68.83,0.511,1.45,111.8,994.8306,0.143,12.73
FRLM,2026-04-15 20:30:00+00,-33.27,67.67,0.629,1.215,289.9,994.9645,0.04,12.73
FRLM,2026-04-15 20:15:00+00,-33.08,67.11,0.891,2.509,150.0,994.9128,0.015,12.73
FRLM,2026-04-15 20:00:00+00,-33.36,67.66,1.145,2.685,98.0,994.8264,0.008,12.73
FRLM,2026-04-15 19:45:00+00,-33.13,68.14,1.615,3.116,94.1,994.8993,0.003,12.73
FRLM,2026-04-15 19:30:00+00,-32.84,67.15,1.792,2.783,42.3,994.9606,0.001,12.73
FRLM,2026-04-15 19:15:00+00,-32.68,69.13,1.307,2.097,157.6,995.053,0.001,12.73
FRLM,2026-04-15 19:00:00+00,-33.3,69.0,0.653,1.999,200.1,995.1108,0.001,12.73
FRLM,2026-04-15 18:45:00+00,-33.33,68.23,0.483,1.313,231.7,995.161,0.002,12.73
FRLM,2026-04-15 18:30:00+00,-33.24,67.67,1.032,1.666,112.4,995.2469,0.001,12.73
FRLM,2026-04-15 18:15:00+00,-32.95,67.03,0.879,2.058,24.97,995.303,0.001,12.73
FRLM,2026-04-15 18:00:00+00,-33.06,67.02,0.437,1.235,104.6,995.386,0.001,12.73
FRLM,2026-04-15 17:45:00+00,-33.34,68.09,1.482,2.352,140.6,995.4505,0.002,12.73
FRLM,2026-04-15 17:30:00+00,-33.63,67.86,0.944,1.94,58.81,995.5461,0.002,12.73
FRLM,2026-04-15 17:15:00+00,-33.07,66.99,1.886,2.528,52.86,995.5288,0.001,12.73
FRLM,2026-04-15 17:00:00+00,-32.59,67.84,0.89,2.43,94.5,995.5204,0.001,12.73
FRLM,2026-04-15 16:45:00+00,-33.09,69.26,1.877,3.391,161.2,995.4795,0.0,12.73
FRLM,2026-04-15 16:30:00+00,-33.5,68.59,0.976,1.725,268.3,995.5704,0.001,12.73
FRLM,2026-04-15 16:15:00+00,-33.67,68.5,0.64,1.548,27.54,995.6328,0.001,12.73
FRLM,2026-04-15 16:00:00+00,-33.39,67.96,1.111,1.999,17.09,995.4314,0.001,12.73
FRLM,2026-04-15 15:45:00+00,-32.9,67.73,1.986,2.92,92.7,995.3342,0.001,12.73
FRLM,2026-04-15 15:30:00+00,-33.16,69.09,1.794,3.9,105.8,995.4628,0.001,12.73
FRLM,2026-04-15 15:15:00+00,-33.48,69.27,0.972,1.646,40.16,995.4389,0.001,12.73
FRLM,2026-04-15 15:00:00+00,-33.46,69.1,0.768,1.646,231.3,995.4708,0.001,12.73
FRLM,2026-04-15 14:45:00+00,-33.64,67.87,1.535,2.019,237.5,995.6221,0.0,12.73
FRLM,2026-04-15 14:30:00+00,-33.2,67.65,0.996,1.705,125.8,995.7099,0.001,12.73
FRLM,2026-04-15 14:15:00+00,-33.89,68.48,2.852,3.783,56.71,995.7427,0.001,12.74
FRLM,2026-04-15 14:00:00+00,-33.45,69.6,1.899,3.018,145.0,995.7726,0.001,12.73
FRLM,2026-04-15 13:45:00+00,-33.63,69.19,0.527,2.43,159.2,996.0023,0.001,12.73
FRLM,2026-04-15 13:30:00+00,-33.27,69.34,1.276,1.94,36.28,996.1083,0.001,12.74
FRLM,2026-04-15 13:15:00+00,-33.32,69.45,0.751,1.94,170.4,996.3437,0.0,12.73
FRLM,2026-04-15 13:00:00+00,-33.89,68.85,0.752,1.94,175.2,996.5746,0.001,12.73
FRLM,2026-04-15 12:45:00+00,-33.76,68.65,1.06,2.411,126.6,996.6151,0.002,12.73
FRLM,2026-04-15 12:30:00+00,-33.39,69.27,1.153,1.999,58.07,996.5742,0.002,12.73
FRLM,2026-04-15 12:15:00+00,-33.56,69.38,1.029,1.705,47.32,996.5197,0.002,12.74
FRLM,2026-04-15 12:00:00+00,-33.59,69.13,0.889,1.901,171.8,996.5121,0.0,12.74
FRLM,2026-04-15 11:45:00+00,-33.5,68.69,0.357,0.98,197.4,996.6341,0.001,12.74
FRLM,2026-04-15 11:30:00+00,-33.62,69.0,0.806,1.627,88.8,996.6706,0.002,12.74
FRLM,2026-04-15 11:15:00+00,-33.32,68.97,1.38,1.823,66.62,996.7056,0.001,12.74
FRLM,2026-04-15 11:00:00+00,-33.25,69.61,0.727,1.49,46.69,996.7003,0.002,12.74
FRLM,2026-04-15 10:45:00+00,-33.1,69.76,0.304,0.804,156.7,996.6419,0.0,12.73
FRLM,2026-04-15 10:30:00+00,-33.36,69.73,0.093,0.568,289.0,996.7064,0.001,12.74
FRLM,2026-04-15 10:15:00+00,-33.36,69.29,1.001,1.725,26.18,996.7903,0.001,12.74
FRLM,2026-04-15 10:00:00+00,-33.32,69.29,0.749,1.392,160.7,996.8968,0.0,12.74
FRLM,2026-04-15 09:45:00+00,-33.29,68.63,0.141,0.647,359.4,996.9464,0.003,12.74
FRLM,2026-04-15 09:30:00+00,-33.14,69.36,0.688,1.47,80.6,996.9182,0.001,12.74
FRLM,2026-04-15 09:15:00+00,-33.51,68.47,1.639,1.999,165.2,996.8984,0.001,12.74
FRLM,2026-04-15 09:00:00+00,-33.61,68.77,1.454,2.47,39.79,996.8661,0.001,12.74
FRLM,2026-04-15 08:45:00+00,-33.68,67.78,2.294,2.666,50.43,996.7913,0.002,12.74
FRLM,2026-04-15 08:30:00+00,-32.67,67.76,1.629,2.607,65.1,996.7576,0.002,12.75
FRLM,2026-04-15 08:15:00+00,-32.59,69.51,1.16,1.921,118.6,996.7516,0.001,12.74
FRLM,2026-04-15 08:00:00+00,-32.98,69.63,0.877,1.235,236.2,996.7866,0.001,12.75
FRLM,2026-04-15 07:45:00+00,-33.1,68.92,0.226,0.823,41.45,996.7839,0.001,12.75
