symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
HO2M,2026-06-07 02:45:00+00,-31.88,69.01,3.108456,10.668672,222.4,987.0283,0.002,12.39
HO2M,2026-06-07 02:30:00+00,-31.33,70.13,3.190104,6.1722,8.26,987.0493,0.002,12.38
HO2M,2026-06-07 02:15:00+00,-32.01,68.86,2.597184,5.981688,102.2,987.2089,0.001,12.39
HO2M,2026-06-07 02:00:00+00,-30.91,70.6,3.744144,6.782616,27.85,987.3641,0.001,12.38
HO2M,2026-06-07 01:45:00+00,-32.27,69.84,2.764368,6.286896,292.2,987.5397,0.001,12.38
HO2M,2026-06-07 01:30:00+00,-32.11,70.15,2.76048,5.410152,22.25,987.6838,0.001,12.38
HO2M,2026-06-07 01:15:00+00,-31.3,71.09,4.129056,10.287648,309.8,987.7278,0.002,12.38
HO2M,2026-06-07 21:15:00+00,-27.93,74.43,3.602232,5.639544,18.82,982.2744,0.001,12.43
HO2M,2026-06-07 21:00:00+00,-27.93,74.15,3.915216,5.600664,29.35,982.5082,0.002,12.43
HO2M,2026-06-07 20:45:00+00,-28.3,73.93,2.733264,4.648104,13.83,982.6412,0.002,12.43
HO2M,2026-06-07 20:30:00+00,-28.56,73.5,2.064528,3.505032,53.52,982.6453,0.001,12.44
HO2M,2026-06-07 20:15:00+00,-29.01,74.19,5.21964,7.087824,13.83,982.7482,0.001,12.43
HO2M,2026-06-07 20:00:00+00,-30.31,73.02,1.012824,3.77136,332.4,982.9265,0.002,12.43
HO2M,2026-06-07 19:45:00+00,-30.37,73.93,2.113128,4.381776,275.4,982.8868,0.002,12.43
HO2M,2026-06-07 19:30:00+00,-31.16,71.83,1.597968,3.390336,254.8,982.4879,0.001,12.43
HO2M,2026-06-07 19:15:00+00,-29.28,73.61,2.006208,6.020568,293.8,982.3211,0.001,12.43
HO2M,2026-06-07 19:00:00+00,-29.29,73.13,1.469664,4.381776,36.77,982.3561,0.002,12.43
HO2M,2026-06-07 18:45:00+00,-28.19,73.24,3.637224,6.401592,320.2,982.7679,0.002,12.43
HO2M,2026-06-07 18:30:00+00,-28.07,75.33,3.258144,5.143824,17.11,983.2592,0.002,12.43
HO2M,2026-06-07 18:15:00+00,-29.48,74.92,3.668328,5.944752,10.1,983.4374,0.002,12.43
HO2M,2026-06-07 18:00:00+00,-30.11,75.05,3.835512,8.724672,91.5,983.2804,0.003,12.43
HO2M,2026-06-07 17:45:00+00,-30.53,74.23,9.64224,15.76584,138,982.9415,0,12.43
HO2M,2026-06-07 17:30:00+00,-29.36,75.01,2.15784,7.5816,120,982.5181,0.001,12.43
HO2M,2026-06-07 17:15:00+00,-29.34,75.02,2.628288,4.648104,247,982.5558,0.002,12.43
HO2M,2026-06-07 17:00:00+00,-29.48,74.82,1.522152,3.81024,157.4,982.838,0.001,12.43
HO2M,2026-06-07 16:45:00+00,-29.27,76.16,2.84796,8.497224,108.6,983.1139,0.002,12.43
HO2M,2026-06-07 16:30:00+00,-29.18,77.3,8.302824,12.38328,123.8,983.0991,0.001,12.43
HO2M,2026-06-07 16:15:00+00,-29.07,77.24,8.258112,15.165144,130.3,983.0111,0.001,12.43
HO2M,2026-06-07 16:00:00+00,-28.72,76.05,10.60452,20.47032,118.2,982.5929,0.002,12.43
HO2M,2026-06-07 15:45:00+00,-27.89,73.11,9.45756,16.83504,121.4,982.1882,0.003,12.43
HO2M,2026-06-07 15:30:00+00,-27.95,74.06,7.012008,16.67952,144.2,982.0596,0.002,12.43
HO2M,2026-06-07 15:15:00+00,-28.5,67.74,10.822248,18.74016,141.5,981.9256,0.001,12.43
HO2M,2026-06-07 15:00:00+00,-26.83,58.64,6.38604,16.46568,242.3,981.7131,0.002,12.43
HO2M,2026-06-07 14:45:00+00,-27.41,64.86,5.886432,14.097888,254.5,981.8666,0.002,12.43
HO2M,2026-06-07 14:30:00+00,-28.38,73.45,4.984416,12.192768,246.8,981.9342,0.001,12.43
HO2M,2026-06-07 14:15:00+00,-29,73.9,2.37168,6.21108,269,982.2823,0.001,12.43
HO2M,2026-06-07 14:00:00+00,-29.38,73.7,2.01204,4.7628,42.14,982.9836,0.002,12.43
HO2M,2026-06-07 13:45:00+00,-29.93,75.21,1.800144,5.104944,26,983.5469,0.001,12.43
HO2M,2026-06-07 13:30:00+00,-30.67,74.99,3.182328,5.639544,36.04,983.8282,0.003,12.43
HO2M,2026-06-07 13:15:00+00,-30.78,75.71,3.201768,8.001504,160.3,983.6881,0.001,12.42
HO2M,2026-06-07 13:00:00+00,-30.79,75.34,2.890728,7.315272,145.3,983.3665,0.001,12.43
HO2M,2026-06-07 12:45:00+00,-30.37,75.05,1.949832,6.020568,144.4,983.1771,0.001,12.43
HO2M,2026-06-07 12:30:00+00,-29.95,73.85,1.667952,3.84912,267.6,983.2137,0.001,12.43
HO2M,2026-06-07 12:15:00+00,-29.62,73.85,1.685448,4.191264,28.55,983.543,0.002,12.43
HO2M,2026-06-07 12:00:00+00,-29.77,73.59,1.531872,3.124008,49.23,983.9865,0.002,12.43
HO2M,2026-06-07 11:45:00+00,-29.87,73.47,2.713824,4.877496,132.5,983.9529,0.001,12.42
HO2M,2026-06-07 11:30:00+00,-29.8,74.24,3.24648,8.343648,103.2,983.9031,0.002,12.43
HO2M,2026-06-07 11:15:00+00,-30.17,73.88,5.565672,14.669424,127.4,983.6658,0.002,12.42
HO2M,2026-06-07 11:00:00+00,-30.2,74.34,2.807136,7.239456,140.2,983.2552,0.001,12.42
HO2M,2026-06-07 10:45:00+00,-30.05,74.69,2.472768,7.200576,226.5,983.4852,0.001,12.43
HO2M,2026-06-07 10:30:00+00,-29.95,74.33,2.87712,6.286896,291.6,983.4579,0.002,12.42
HO2M,2026-06-07 10:15:00+00,-29.36,73.45,2.873232,6.973128,194.7,983.6179,0,12.42
HO2M,2026-06-07 10:00:00+00,-29.36,73.13,4.226256,9.02988,126.3,983.8502,0.002,12.42
HO2M,2026-06-07 09:45:00+00,-29.21,72.89,4.131,10.859184,137.6,983.6993,0.001,12.42
HO2M,2026-06-07 09:30:00+00,-28.78,73.46,2.645784,8.648856,148.8,983.7075,0,12.42
HO2M,2026-06-07 09:15:00+00,-28.83,74.39,2.612736,7.278336,226.9,983.7779,0,12.42
HO2M,2026-06-07 09:00:00+00,-29.07,74.25,8.277552,15.507288,131.8,983.8266,0,12.42
HO2M,2026-06-07 08:45:00+00,-28.8,67.4,12.50964,17.1072,144.9,983.4652,0,12.41
HO2M,2026-06-07 08:30:00+00,-26.93,52.16,10.72116,18.89568,151.6,983.0517,0,12.41
HO2M,2026-06-07 08:15:00+00,-22.51,41.32,7.783776,21.22848,144.3,982.8757,0,12.41
HO2M,2026-06-07 08:00:00+00,-22.03,36.7,7.398864,18.09864,166.5,982.9174,0,12.4
HO2M,2026-04-09 00:30:00+00,-18.25,27.63,24.37776,29.957039,244,984.4921,21.7,12.8
HO2M,2026-04-09 00:15:00+00,-18.35,26.99,22.453201,28.92672,244.4,984.5156,21.4,12.81
HO2M,2026-04-09 00:00:00+00,-18.12,25.44,22.99752,31.473362,252.3,984.7065,20.99,12.81
HO2M,2026-04-08 23:45:00+00,-18.68,27.41,26.01072,31.706638,246.1,984.6227,20.43,12.81
HO2M,2026-04-08 23:30:00+00,-18.76,29.2,24.33888,29.87928,246.3,984.6378,19.69,12.81
HO2M,2026-04-08 23:15:00+00,-18.58,28.8,22.56984,27.46872,243.3,984.5671,18.78,12.8
HO2M,2026-04-08 23:00:00+00,-18.44,28.59,22.02552,26.98272,243.5,984.4391,17.71,12.8
HO2M,2026-04-08 22:45:00+00,-18.36,28.36,19.906559,25.038721,242.1,984.5891,16.44,12.8
HO2M,2026-04-08 22:30:00+00,-18.2,26.12,21.967201,28.05192,249.8,984.5897,14.99,12.79
HO2M,2026-04-08 22:15:00+00,-18.16,25.57,21.53952,27.39096,254.8,984.598,13.33,12.79
HO2M,2026-04-08 22:00:00+00,-18.21,25.65,23.75568,30.87072,252.4,984.3627,11.5,12.79
HO2M,2026-04-08 21:45:00+00,-18.12,24.54,23.17248,28.9656,252.7,984.3622,9.51,12.78
HO2M,2026-04-08 21:30:00+00,-18.2,24.87,19.78992,28.26576,255,984.6724,7.299,12.78
HO2M,2026-04-08 21:15:00+00,-18.17,25.02,19.478882,28.5768,260.1,984.5861,5.221,12.79
HO2M,2026-04-08 21:00:00+00,-18.24,24.59,23.34744,30.132,254.7,984.2589,3.423,12.78
HO2M,2026-04-08 20:45:00+00,-18.36,24.98,23.4252,31.12344,255.3,984.2037,1.952,12.78
HO2M,2026-04-08 20:30:00+00,-18.44,25.14,24.591599,31.12344,255.6,984.1677,1.027,12.78
HO2M,2026-04-08 20:15:00+00,-18.18,25.07,23.9112,33.37848,253.1,984.1035,0.457,12.78
HO2M,2026-04-08 20:00:00+00,-17.69,24.06,21.85056,28.49904,251.7,984.105,0.153,12.78
HO2M,2026-04-08 19:45:00+00,-17.54,24.6,21.034079,29.646,257.4,983.959,0.045,12.78
HO2M,2026-04-08 19:30:00+00,-17.73,25.01,20.645279,27.8964,259.3,983.9327,0.011,12.78
HO2M,2026-04-08 19:15:00+00,-17.43,24.16,21.46176,29.87928,262.6,983.8911,0.005,12.78
HO2M,2026-04-08 19:00:00+00,-17.69,24.35,22.2588,30.093119,263.2,983.8301,0.002,12.78
HO2M,2026-04-08 18:45:00+00,-17.71,24.18,23.73624,31.95936,259.7,983.7125,0,12.77
HO2M,2026-04-08 18:30:00+00,-17.29,24.31,24.552721,32.503677,253.9,983.5094,0.002,12.78
HO2M,2026-04-08 18:15:00+00,-17.78,26.29,20.33424,28.05192,259.7,983.7409,0.002,12.77
HO2M,2026-04-08 18:00:00+00,-17.73,26.86,22.51152,28.61568,256.4,983.6443,0.001,12.77
HO2M,2026-04-08 17:45:00+00,-17.6,26.72,22.08384,27.974161,251,983.2675,0.001,12.77
HO2M,2026-04-08 17:30:00+00,-17.67,27.61,23.60016,28.42128,247.6,983.0797,0.003,12.77
HO2M,2026-04-08 17:15:00+00,-17.96,28.11,24.04728,32.620323,253.8,983.1608,0.001,12.77
HO2M,2026-04-08 17:00:00+00,-17.74,27.4,24.84432,32.34816,256.1,982.9645,0.001,12.77
HO2M,2026-04-08 16:45:00+00,-17.51,26.55,24.26112,31.86216,256.3,982.9103,0.001,12.77
HO2M,2026-04-08 16:30:00+00,-17.19,26.42,22.725359,32.87304,264,983.0273,0.001,12.77
HO2M,2026-04-08 16:15:00+00,-17.34,27.11,22.66704,29.56824,253.7,982.8859,0.001,12.77
HO2M,2026-04-08 16:00:00+00,-17.34,28.01,22.37544,30.9096,257.8,983.1096,0.001,12.77
HO2M,2026-04-08 15:45:00+00,-17.26,27.04,24.53328,32.620323,262.2,982.8226,0.002,12.77
HO2M,2026-04-08 15:30:00+00,-17.22,28.29,22.6476,31.59,257.2,982.6342,0.001,12.77
HO2M,2026-04-08 15:15:00+00,-17.3,28.39,21.7728,28.84896,258.1,982.8719,0.001,12.77
HO2M,2026-04-08 15:00:00+00,-17,27.99,20.00376,28.65456,280.8,982.9894,0.002,12.77
HO2M,2026-04-08 14:45:00+00,-16.69,28.2,14.856049,27.42984,256.4,982.8917,0.002,12.76
HO2M,2026-04-08 14:30:00+00,-16.51,28.18,10.134071,18.25416,268.9,982.8344,0.006,12.77
HO2M,2026-04-08 14:15:00+00,-17.86,40.68,7.801272,18.97344,281.4,982.8439,0.004,12.77
HO2M,2026-04-08 14:00:00+00,-22.23,66.52,3.512808,7.200576,82.3,983.0685,0.001,12.77
HO2M,2026-04-08 13:45:00+00,-22.92,73.5,5.260464,9.830809,21.78,983.2809,0.002,12.77
HO2M,2026-04-08 13:30:00+00,-24.28,72.84,2.593296,5.21964,325.9,983.2715,0.002,12.77
HO2M,2026-04-08 13:15:00+00,-23.55,72.79,2.056752,4.648104,6.698,983.1529,0.002,12.77
HO2M,2026-04-08 13:00:00+00,-23.71,72.02,3.09096,5.830056,35.7,983.276,0.001,12.77
HO2M,2026-04-08 12:45:00+00,-23.01,70.71,3.0131998,5.295456,227.6,983.0703,0.001,12.77
HO2M,2026-04-08 12:30:00+00,-22.28,70.83,5.1068883,8.001504,20.19,983.0854,0.003,12.77
HO2M,2026-04-08 12:15:00+00,-22.94,71.63,3.565296,6.66792,12.33,983.0884,0.002,12.77
HO2M,2026-04-08 12:00:00+00,-23,70.76,2.93544,6.096384,328.1,982.9591,0.002,12.77
HO2M,2026-04-08 11:45:00+00,-22.05,69.45,3.783024,6.7437363,4.882,983.0139,0.002,12.77
HO2M,2026-04-08 11:30:00+00,-22.26,69.74,3.38256,5.1438236,356,983.0683,0.002,12.77
HO2M,2026-04-08 11:15:00+00,-22.79,70.41,1.5649201,3.3145201,88.6,982.9484,0.002,12.77
HO2M,2026-04-08 11:00:00+00,-23.04,69.93,1.770984,3.619728,69.45,982.9047,0.002,12.77
HO2M,2026-04-08 10:45:00+00,-22.9,69.58,1.106136,2.515536,146.4,982.9711,0.002,12.77
HO2M,2026-04-08 10:30:00+00,-22.6,68.05,1.216944,3.124008,266.6,982.9448,0.002,12.77
